area,bathrooms,bedrooms,stories,airconditioning,parking,price
7420,2,4,3,1,2,13300000
8960,4,4,4,1,3,12250000
9960,2,3,2,0,2,12250000
7500,2,4,2,1,3,12215000
7420,1,4,2,1,2,11410000
7500,3,3,1,1,2,10850000
8580,3,4,4,1,2,10150000
16200,3,5,2,0,0,10150000
8100,1,4,2,1,2,9870000
5750,2,3,4,1,1,9800000
13200,1,3,2,1,2,9800000
6000,3,4,2,0,2,9681000
6550,2,4,2,1,1,9310000
3500,2,4,2,0,2,9240000
7800,2,3,2,0,0,9240000
6000,1,4,2,0,2,9100000
6600,2,4,2,1,1,9100000
8500,2,3,4,1,2,8960000
4600,2,3,2,1,2,8890000
6420,2,3,2,1,1,8855000
4320,1,3,2,0,2,8750000
7155,2,3,1,1,2,8680000
8050,1,3,1,1,1,8645000
4560,2,3,2,1,1,8645000
8800,2,3,2,1,2,8575000
6540,2,4,2,1,2,8540000
6000,2,3,4,1,0,8463000
8875,1,3,1,0,1,8400000
7950,2,5,2,0,2,8400000
5500,2,4,2,1,1,8400000
7475,2,3,4,1,2,8400000
7000,1,3,4,1,2,8400000
4880,2,4,2,1,1,8295000
5960,3,3,2,0,1,8190000
6840,1,5,2,1,1,8120000
7000,2,3,4,1,2,8080940
7482,2,3,3,0,1,8043000
9000,2,4,4,1,2,7980000
6000,1,3,4,1,2,7962500
6000,2,4,4,1,1,7910000
6550,1,3,2,1,0,7875000
6360,2,3,4,1,0,7840000
6480,2,3,4,1,2,7700000
6000,2,4,4,0,2,7700000
6000,2,4,4,1,1,7560000
6000,2,3,3,1,0,7560000
6000,2,3,4,1,1,7525000
6600,1,3,4,1,3,7490000
4300,2,3,2,0,1,7455000
7440,2,3,1,1,0,7420000
7440,2,3,4,0,1,7420000
6325,1,3,4,1,1,7420000
6000,2,4,4,1,1,7350000
5150,2,3,4,1,2,7350000
6000,2,3,2,1,1,7350000
6000,1,3,2,1,1,7350000
11440,1,4,2,0,1,7343000
9000,2,4,4,1,1,7245000
7680,2,4,4,1,1,7210000
6000,2,3,4,1,1,7210000
6000,2,3,2,0,1,7140000
8880,1,2,1,1,1,7070000
6240,2,4,2,1,1,7070000
6360,2,4,3,1,2,7035000
11175,1,3,1,1,1,7000000
8880,2,3,2,1,1,6930000
13200,1,2,1,0,1,6930000
7700,2,3,1,0,2,6895000
6000,1,3,1,1,1,6860000
12090,2,4,2,0,2,6790000
4000,2,3,2,1,0,6790000
6000,2,4,4,1,0,6755000
5020,1,3,4,1,0,6720000
6600,2,2,4,0,0,6685000
4040,1,3,2,0,1,6650000
4260,2,4,2,0,0,6650000
6420,2,3,3,1,0,6650000
6500,2,3,3,1,0,6650000
5700,1,3,1,1,2,6650000
6000,2,3,3,1,0,6650000
6000,1,3,2,0,1,6629000
4000,2,3,2,1,1,6615000
10500,2,3,1,1,1,6615000
6000,2,3,4,1,0,6580000
3760,1,3,2,0,2,6510000
8250,2,3,3,1,0,6510000
6670,1,3,3,0,0,6510000
3960,1,3,1,0,2,6475000
7410,1,3,1,1,2,6475000
8580,3,5,2,0,2,6440000
5000,1,3,2,1,0,6440000
6750,1,2,1,0,2,6419000
4800,2,3,4,1,0,6405000
7200,2,3,1,1,3,6300000
6000,2,4,4,0,1,6300000
4100,2,3,3,1,2,6300000
9000,1,3,1,0,1,6300000
6400,1,3,1,1,1,6300000
6600,2,3,3,1,0,6293000
6000,1,4,3,0,0,6265000
6600,2,3,1,1,0,6230000
5500,1,3,3,0,1,6230000
5500,2,3,4,1,1,6195000
6350,2,3,3,1,0,6195000
5500,2,3,1,0,2,6195000
4500,1,3,4,1,0,6160000
5450,2,4,1,1,0,6160000
6420,1,3,3,0,0,6125000
3240,1,4,3,0,1,6107500
6615,2,4,2,0,1,6090000
6600,1,3,1,0,2,6090000
8372,1,3,3,1,2,6090000
4300,2,6,2,0,0,6083000
9620,1,3,1,0,2,6083000
6800,1,2,1,0,2,6020000
8000,1,3,1,1,2,6020000
6900,2,3,1,0,0,6020000
3700,1,4,2,1,0,5950000
6420,1,3,1,1,0,5950000
7020,1,3,1,1,2,5950000
6540,1,3,1,0,2,5950000
7231,1,3,2,1,0,5950000
6254,2,4,1,0,1,5950000
7320,2,4,2,0,0,5950000
6525,2,3,4,0,1,5950000
15600,1,3,1,1,2,5943000
7160,1,3,1,0,2,5880000
6500,2,3,3,1,0,5880000
5500,1,3,3,1,1,5873000
11460,1,3,3,0,2,5873000
4800,1,3,1,0,0,5866000
5828,1,4,4,0,0,5810000
5200,1,3,3,1,0,5810000
4800,1,3,3,1,0,5810000
7000,1,3,1,0,2,5803000
6000,2,3,4,1,0,5775000
5400,2,4,2,1,2,5740000
4640,1,4,2,0,1,5740000
5000,1,3,3,1,0,5740000
6360,1,3,1,1,2,5740000
5800,2,3,4,1,0,5740000
6660,2,4,2,0,1,5652500
10500,2,4,2,0,1,5600000
4800,2,5,3,0,0,5600000
4700,1,4,2,1,1,5600000
5000,1,3,4,0,0,5600000
10500,1,2,1,0,1,5600000
5500,2,3,2,0,1,5600000
6360,1,3,3,0,0,5600000
6600,2,4,1,0,0,5600000
5136,1,3,2,1,0,5600000
4400,1,4,2,1,2,5565000
5400,1,5,2,1,0,5565000
3300,3,3,2,0,0,5530000
3650,2,3,2,0,2,5530000
6100,2,3,1,0,2,5530000
6900,1,3,1,0,0,5523000
2817,2,4,2,0,1,5495000
7980,1,3,1,0,2,5495000
3150,2,3,1,1,0,5460000
6210,1,4,4,1,0,5460000
6100,1,3,3,1,0,5460000
6600,2,4,2,0,0,5460000
6825,1,3,1,1,0,5425000
6710,2,3,2,0,1,5390000
6450,2,3,1,0,0,5383000
7800,1,3,1,1,2,5320000
4600,2,2,1,1,2,5285000
4260,1,4,2,1,0,5250000
6540,2,4,2,1,0,5250000
5500,2,3,1,0,0,5250000
10269,1,3,1,0,1,5250000
8400,1,3,2,1,2,5250000
5300,2,4,1,1,0,5250000
3800,1,3,2,0,1,5250000
9800,2,4,2,0,2,5250000
8520,1,3,1,1,2,5250000
6050,1,3,1,0,0,5243000
7085,1,3,1,0,2,5229000
3180,2,3,2,0,2,5215000
4500,2,4,1,1,2,5215000
7200,1,3,2,0,1,5215000
3410,1,3,2,1,0,5145000
7980,1,3,1,0,1,5145000
3000,2,3,2,0,0,5110000
3000,1,3,2,0,0,5110000
11410,1,2,2,0,0,5110000
6100,1,3,1,1,0,5110000
5720,1,2,2,1,0,5075000
3540,1,2,1,0,0,5040000
7600,1,4,2,1,2,5040000
10700,1,3,2,0,0,5040000
6600,1,3,1,0,0,5040000
4800,1,2,1,0,0,5033000
8150,2,3,1,0,0,5005000
4410,3,4,2,0,2,4970000
7686,1,3,1,0,0,4970000
2800,2,3,2,1,1,4956000
5948,1,3,2,1,0,4935000
4200,1,3,2,0,1,4907000
4520,1,3,2,1,0,4900000
4095,1,3,2,1,0,4900000
4120,1,2,1,0,1,4900000
5400,1,4,2,0,0,4900000
4770,1,3,1,0,0,4900000
6300,1,3,1,1,2,4900000
5800,1,2,1,1,0,4900000
3000,1,3,2,1,0,4900000
2970,1,3,3,0,0,4900000
6720,1,3,1,0,0,4900000
4646,1,3,2,0,2,4900000
12900,1,3,1,0,2,4900000
3420,2,4,2,1,2,4893000
4995,2,4,1,0,0,4893000
4350,1,2,1,0,0,4865000
4160,1,3,3,0,0,4830000
6040,1,3,1,0,2,4830000
6862,1,3,2,1,2,4830000
4815,1,2,1,1,0,4830000
7000,1,3,2,0,0,4795000
8100,1,4,4,1,2,4795000
3420,2,4,2,0,0,4767000
9166,1,2,1,1,2,4760000
6321,1,3,2,1,1,4760000
10240,1,2,1,1,2,4760000
6440,1,2,1,1,3,4753000
5170,1,3,4,1,0,4690000
6000,1,2,1,1,1,4690000
3630,1,3,2,0,2,4690000
9667,2,4,2,0,1,4690000
5400,1,2,2,0,0,4690000
4320,1,3,1,0,0,4690000
3745,1,3,2,0,0,4655000
4160,1,3,1,1,0,4620000
3880,2,3,2,0,2,4620000
5680,1,3,2,1,1,4620000
2870,1,2,2,0,0,4620000
5010,1,3,2,0,0,4620000
4510,2,4,2,0,0,4613000
4000,1,3,2,0,1,4585000
3840,1,3,2,0,1,4585000
3760,1,3,1,0,2,4550000
3640,1,3,2,1,0,4550000
2550,1,3,2,0,0,4550000
5320,1,3,2,0,0,4550000
5360,1,3,2,0,2,4550000
3520,1,3,1,0,0,4550000
8400,1,4,4,0,3,4550000
4100,2,2,1,0,0,4543000
4990,2,4,2,0,0,4543000
3510,1,3,3,0,0,4515000
3450,1,3,2,0,1,4515000
9860,1,3,1,0,0,4515000
3520,1,2,2,0,0,4515000
4510,1,4,2,1,2,4480000
5885,1,2,1,1,1,4480000
4000,1,3,2,0,2,4480000
8250,1,3,1,0,0,4480000
4040,1,3,2,0,1,4480000
6360,1,2,1,1,1,4473000
3162,1,3,2,1,1,4473000
3510,1,3,2,0,0,4473000
3750,1,2,1,0,0,4445000
3968,1,3,2,0,0,4410000
4900,1,2,2,0,0,4410000
2880,1,3,2,0,0,4403000
4880,1,3,1,0,2,4403000
4920,1,3,2,0,1,4403000
4950,1,4,2,1,0,4382000
3900,1,3,2,0,0,4375000
4500,2,3,3,0,1,4340000
1905,1,5,2,0,0,4340000
4075,1,3,1,0,2,4340000
3500,1,4,2,0,2,4340000
6450,1,4,2,0,0,4340000
4032,1,2,1,0,0,4319000
4400,1,2,1,0,1,4305000
10360,1,2,1,0,1,4305000
3400,1,3,2,0,2,4277000
6360,1,2,1,0,0,4270000
6360,1,2,2,0,0,4270000
4500,1,2,1,1,2,4270000
2175,1,3,2,1,0,4270000
4360,1,4,2,0,0,4270000
7770,1,2,1,0,1,4270000
6650,1,3,2,0,0,4235000
2787,1,3,1,0,0,4235000
5500,1,3,2,1,0,4200000
5040,1,3,2,1,0,4200000
5850,1,2,1,0,2,4200000
2610,3,4,2,0,0,4200000
2953,1,3,2,1,0,4200000
2747,2,4,2,0,0,4200000
4410,1,2,1,0,1,4200000
4000,2,4,2,0,0,4200000
2325,1,3,2,0,0,4200000
4600,2,3,2,1,1,4200000
3640,2,3,2,0,0,4200000
5800,1,3,1,0,2,4200000
7000,1,3,1,0,3,4200000
4079,1,3,3,0,0,4200000
3520,1,3,2,0,0,4200000
2145,1,3,3,0,1,4200000
4500,1,3,1,0,0,4200000
8250,1,3,1,0,3,4193000
3450,1,3,2,0,1,4193000
4840,1,3,2,0,1,4165000
4080,1,3,2,0,2,4165000
4046,1,3,2,0,1,4165000
4632,1,4,2,1,0,4130000
5985,1,3,1,0,0,4130000
6060,1,2,1,0,1,4123000
3600,1,3,1,1,0,4098500
3680,2,3,2,0,0,4095000
4040,1,2,2,0,1,4095000
5600,1,2,1,1,0,4095000
5900,2,4,2,0,1,4060000
4992,2,3,2,0,2,4060000
4340,1,3,1,0,0,4060000
3000,1,4,3,1,2,4060000
4320,1,3,2,0,2,4060000
3630,2,3,2,0,2,4025000
3460,2,3,1,1,1,4025000
5400,1,3,1,0,3,4025000
4500,1,3,2,1,0,4007500
3460,1,4,2,1,0,4007500
4100,1,4,1,0,0,3990000
6480,1,3,2,1,1,3990000
4500,2,3,2,1,0,3990000
3960,1,3,2,0,0,3990000
4050,1,2,2,0,0,3990000
7260,2,3,1,0,3,3920000
5500,1,4,2,0,0,3920000
3000,1,3,2,0,0,3920000
3290,1,2,1,0,1,3920000
3816,1,2,1,1,2,3920000
8080,1,3,1,1,2,3920000
2145,2,4,1,0,0,3920000
3780,1,2,2,0,0,3885000
3180,2,4,2,0,0,3885000
5300,2,5,2,0,0,3850000
3180,2,2,1,0,2,3850000
7152,1,3,2,1,0,3850000
4080,1,2,1,0,0,3850000
3850,1,2,1,0,0,3850000
2015,1,3,2,0,0,3850000
2176,1,2,2,0,0,3850000
3350,1,3,2,0,0,3836000
3150,2,2,1,0,0,3815000
4820,1,3,2,0,0,3780000
3420,1,2,2,0,1,3780000
3600,1,2,1,0,0,3780000
5830,1,2,1,0,2,3780000
2856,1,3,3,0,0,3780000
8400,1,2,1,0,1,3780000
8250,1,3,1,0,2,3773000
2520,2,5,1,1,1,3773000
6930,1,4,2,0,1,3773000
3480,1,2,1,0,0,3745000
3600,1,3,1,0,1,3710000
4040,1,2,1,0,0,3710000
6020,1,3,1,0,0,3710000
4050,1,2,1,0,0,3710000
3584,1,2,1,0,0,3710000
3120,1,3,2,0,0,3703000
5450,1,2,1,0,0,3703000
3630,1,2,1,0,0,3675000
3630,1,2,1,1,0,3675000
5640,1,2,1,0,0,3675000
3600,1,2,1,0,0,3675000
4280,1,2,1,1,2,3640000
3570,1,3,2,0,0,3640000
3180,1,3,2,0,0,3640000
3000,1,2,2,1,0,3640000
3520,2,2,1,0,0,3640000
5960,1,3,2,0,0,3640000
4130,2,3,2,0,2,3640000
2850,2,3,2,0,0,3640000
2275,1,3,3,1,0,3640000
3520,1,3,1,0,2,3633000
4500,1,2,1,0,0,3605000
4000,1,2,1,0,0,3605000
3150,1,3,2,0,0,3570000
4500,2,4,2,0,2,3570000
4500,1,2,1,0,0,3570000
3640,1,2,1,0,0,3570000
3850,1,3,1,0,2,3535000
4240,1,3,2,1,0,3500000
3650,1,3,2,0,0,3500000
4600,1,4,2,0,0,3500000
2135,2,3,2,0,0,3500000
3036,1,3,2,0,0,3500000
3990,1,3,2,0,0,3500000
7424,1,3,1,0,0,3500000
3480,1,3,1,1,0,3500000
3600,1,6,2,0,1,3500000
3640,1,2,1,0,1,3500000
5900,1,2,1,0,1,3500000
3120,1,3,2,0,1,3500000
7350,1,2,1,0,1,3500000
3512,1,2,1,0,1,3500000
9500,1,3,2,0,3,3500000
5880,1,2,1,0,0,3500000
12944,1,3,1,0,0,3500000
4900,1,3,2,0,0,3493000
3060,1,3,1,0,0,3465000
5320,1,2,1,0,1,3465000
2145,1,3,3,0,0,3465000
4000,1,2,1,0,0,3430000
3185,1,2,1,0,2,3430000
3850,1,3,1,0,0,3430000
2145,1,3,3,0,0,3430000
2610,1,3,2,0,0,3430000
1950,2,3,2,0,0,3430000
4040,1,2,1,0,0,3423000
4785,1,3,2,1,1,3395000
3450,1,3,1,0,2,3395000
3640,1,2,1,0,0,3395000
3500,1,4,2,1,2,3360000
4960,1,4,3,0,0,3360000
4120,1,2,2,0,0,3360000
4750,1,2,1,0,0,3360000
3720,1,2,1,1,0,3360000
3750,1,3,1,0,0,3360000
3100,1,3,2,0,0,3360000
3185,1,2,1,0,2,3360000
2700,1,3,1,0,0,3353000
2145,1,3,2,0,0,3332000
4040,1,2,1,0,1,3325000
4775,1,4,2,0,0,3325000
2500,1,2,1,1,0,3290000
3180,1,4,2,1,0,3290000
6060,1,3,1,0,0,3290000
3480,1,4,2,0,1,3290000
3792,1,4,2,0,0,3290000
4040,1,2,1,0,0,3290000
2145,1,3,2,0,0,3290000
5880,1,3,1,0,1,3290000
4500,1,2,1,0,0,3255000
3930,1,2,1,0,0,3255000
3640,1,4,2,0,0,3234000
4370,1,3,2,0,0,3220000
2684,1,2,1,1,1,3220000
4320,1,3,1,0,1,3220000
3120,1,3,2,0,0,3220000
3450,1,1,1,0,0,3150000
3986,2,2,1,0,1,3150000
3500,1,2,1,0,0,3150000
4095,1,2,1,0,2,3150000
1650,1,3,2,0,0,3150000
3450,1,3,2,0,0,3150000
6750,1,2,1,0,0,3150000
9000,1,3,2,0,2,3150000
3069,1,2,1,0,1,3150000
4500,1,3,2,1,0,3143000
5495,1,3,1,0,0,3129000
2398,1,3,1,0,0,3118850
3000,1,3,1,1,0,3115000
3850,1,3,2,0,0,3115000
3500,1,2,1,0,0,3115000
8100,1,2,1,0,1,3087000
4960,1,2,1,1,0,3080000
2160,1,3,2,0,0,3080000
3090,1,2,1,0,0,3080000
4500,1,2,2,0,1,3080000
3800,1,2,1,0,0,3045000
3090,1,3,2,0,0,3010000
3240,1,3,2,0,2,3010000
2835,1,2,1,0,0,3010000
4600,1,2,1,0,0,3010000
5076,1,3,1,0,0,3010000
3750,1,3,2,0,0,3010000
3630,1,4,2,0,3,3010000
8050,1,2,1,0,0,3003000
4352,1,4,2,0,1,2975000
3000,1,2,2,0,0,2961000
5850,1,3,2,0,1,2940000
4960,1,2,1,0,0,2940000
3600,1,3,2,0,1,2940000
3660,1,4,2,0,0,2940000
3480,1,3,2,0,1,2940000
2700,1,2,1,0,0,2940000
3150,1,3,2,0,0,2940000
6615,1,3,2,0,0,2940000
3040,1,2,1,0,0,2870000
3630,1,2,1,0,0,2870000
6000,1,2,1,0,0,2870000
5400,1,4,2,0,0,2870000
5200,1,4,3,0,0,2852500
3300,1,3,2,0,1,2835000
4350,1,3,2,0,1,2835000
2640,1,2,1,0,1,2835000
2650,1,3,2,0,1,2800000
3960,1,3,1,0,0,2800000
6800,1,2,1,0,0,2730000
4000,1,3,2,0,1,2730000
4000,1,2,1,0,0,2695000
3934,1,2,1,0,0,2660000
2000,1,2,2,0,0,2660000
3630,3,3,2,0,0,2660000
2800,1,3,1,0,0,2660000
2430,1,3,1,0,0,2660000
3480,1,2,1,0,1,2660000
4000,1,3,1,0,0,2660000
3185,1,2,1,1,0,2653000
4000,1,3,2,1,0,2653000
2910,1,2,1,0,0,2604000
3600,1,2,1,0,0,2590000
4400,1,2,1,0,0,2590000
3600,2,2,2,0,1,2590000
2880,1,3,1,0,0,2520000
3180,1,3,1,0,0,2520000
3000,1,2,2,0,0,2520000
4400,1,3,2,0,0,2485000
3000,1,3,2,0,0,2485000
3210,1,3,2,0,0,2450000
3240,1,2,1,0,1,2450000
3000,1,2,1,0,1,2450000
3500,1,2,1,0,0,2450000
4840,1,2,2,0,0,2450000
7700,1,2,1,0,0,2450000
3635,1,2,1,0,0,2408000
2475,1,3,2,0,0,2380000
2787,2,4,2,0,0,2380000
3264,1,2,1,0,0,2380000
3640,1,2,1,0,0,2345000
3180,1,2,1,0,0,2310000
1836,1,2,1,0,0,2275000
3970,1,1,1,0,0,2275000
3970,1,3,2,0,0,2275000
1950,1,3,1,0,0,2240000
5300,1,3,1,1,0,2233000
3000,1,2,1,0,0,2135000
2400,1,3,2,0,0,2100000
3000,1,4,2,0,0,2100000
3360,1,2,1,0,1,2100000
3420,1,5,2,0,0,1960000
1700,1,3,2,0,0,1890000
3649,1,2,1,0,0,1890000
2990,1,2,1,0,1,1855000
3000,1,2,1,0,2,1820000
2400,1,3,1,0,0,1767150
3620,1,2,1,0,0,1750000
2910,1,3,1,0,0,1750000
3850,1,3,2,0,0,1750000
